"filename", "language", "C++", "YAML", "JSON", "HTML", "Dart", "Swift", "Markdown", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\h\Downloads\App\wms_android\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\h\Downloads\App\wms_android\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 6, 9, 59
"c:\Users\h\Downloads\App\wms_android\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 2, 51
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\h\Downloads\App\wms_android\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\h\Downloads\App\wms_android\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\h\Downloads\App\wms_android\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\h\Downloads\App\wms_android\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms_android\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\h\Downloads\App\wms_android\lib\Global_Parameter.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 4, 17
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT04\SSFGDT04_main.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\CardTest.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 27, 477
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_POPUP.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 4, 2, 152
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_barcode.dart", "Dart", 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 23, 22, 460
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card.dart", "Dart", 0, 0, 0, 0, 543, 0, 0, 0, 0, 0, 8, 37, 588
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card_main.dart", "Dart", 0, 0, 0, 0, 543, 0, 0, 0, 0, 0, 8, 37, 588
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_form.dart", "Dart", 0, 0, 0, 0, 738, 0, 0, 0, 0, 0, 9, 58, 805
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1463, 70, 1533
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart", "Dart", 0, 0, 0, 0, 1242, 0, 0, 0, 0, 0, 2, 84, 1328
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart", "Dart", 0, 0, 0, 0, 660, 0, 0, 0, 0, 0, 5, 48, 713
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart", "Dart", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 17, 248
"c:\Users\h\Downloads\App\wms_android\lib\bottombar.dart", "Dart", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 3, 7, 118
"c:\Users\h\Downloads\App\wms_android\lib\custom_appbar.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 22, 5, 82
"c:\Users\h\Downloads\App\wms_android\lib\custom_drawer.dart", "Dart", 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 23, 3, 249
"c:\Users\h\Downloads\App\wms_android\lib\data_api.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 7, 59
"c:\Users\h\Downloads\App\wms_android\lib\login.dart", "Dart", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 3, 10, 260
"c:\Users\h\Downloads\App\wms_android\lib\main.dart", "Dart", 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 5, 18, 209
"c:\Users\h\Downloads\App\wms_android\lib\test_menu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 12, 173
"c:\Users\h\Downloads\App\wms_android\lib\test_menu_lv2.dart", "Dart", 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 10, 17, 219
"c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms_android\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\h\Downloads\App\wms_android\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\h\Downloads\App\wms_android\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\h\Downloads\App\wms_android\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 4, 13
"c:\Users\h\Downloads\App\wms_android\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms_android\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\h\Downloads\App\wms_android\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\h\Downloads\App\wms_android\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\h\Downloads\App\wms_android\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\h\Downloads\App\wms_android\pubspec.yaml", "YAML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\h\Downloads\App\wms_android\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\h\Downloads\App\wms_android\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\h\Downloads\App\wms_android\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\h\Downloads\App\wms_android\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\h\Downloads\App\wms_android\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\h\Downloads\App\wms_android\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\h\Downloads\App\wms_android\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 546, 26, 248, 19, 5623, 52, 13, 474, 10, 81, 2446, 762, 10300
