"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\h\Downloads\App\wms_android\lib\Global_Parameter.dart", "Dart", 0, 0, 0, -1, -2, -3
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT04\SSFGDT04_main.dart", "Dart", 0, 7, 0, 0, 3, 10
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_card.dart", "Dart", 0, 224, 0, 12, 13, 249
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_form.dart", "Dart", 0, 418, 0, 32, 18, 468
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_main.dart", "Dart", 0, 156, 0, 18, 13, 187
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_search.dart", "Dart", 0, 236, 0, 55, 9, 300
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_BARCODE.dart", "Dart", 0, 172, 0, 0, 14, 186
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_CREATE.dart", "Dart", 0, 498, 0, 6, 38, 542
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_FORM.dart", "Dart", 0, 205, 0, 0, 24, 229
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MAIN.dart", "Dart", 0, 416, 0, 1, 41, 458
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MENU.dart", "Dart", 0, 158, 0, 1, 8, 167
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_WARE.dart", "Dart", 0, 156, 0, 18, 13, 187
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_barcode.dart", "Dart", 0, -1, 0, 2, 0, 1
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_form.dart", "Dart", 0, 68, 0, 2, -5, 65
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart", "Dart", 0, 10, 0, 11, -6, 15
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart", "Dart", 0, 54, 0, 31, 6, 91
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart", "Dart", 0, 176, 0, 4, 19, 199
"c:\Users\h\Downloads\App\wms_android\lib\bottombar.dart", "Dart", 0, 22, 0, -3, 4, 23
"c:\Users\h\Downloads\App\wms_android\lib\custom_appbar.dart", "Dart", 0, -10, 0, 10, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\custom_drawer.dart", "Dart", 0, -5, 0, 5, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\login.dart", "Dart", 0, 17, 0, 0, 5, 22
"c:\Users\h\Downloads\App\wms_android\lib\main.dart", "Dart", 0, 24, 0, -2, 8, 30
"c:\Users\h\Downloads\App\wms_android\lib\test_menu_lv2.dart", "Dart", 0, 31, 0, 2, 1, 34
"c:\Users\h\Downloads\App\wms_android\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 3032, 1, 204, 224, 3462
