Date : 2024-08-28 09:14:25
Directory : c:\Users\h\Downloads\App\wms_android
Total : 77 files,  10126 codes, 2650 comments, 986 blanks, all 13762 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         31 |      8,655 |      2,420 |        720 |     11,795 |
| C++             |         16 |        546 |        127 |        188 |        861 |
| XML             |         10 |        475 |         53 |         13 |        541 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |         81 |          6 |         17 |        104 |
| Swift           |          6 |         52 |          7 |         20 |         79 |
| YAML            |          2 |         27 |         22 |          8 |         57 |
| HTML            |          1 |         19 |         15 |          5 |         39 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |         10 |          0 |          2 |         12 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         77 |     10,126 |      2,650 |        986 |     13,762 |
| . (Files)                                                                                          |          3 |         37 |         22 |         15 |         74 |
| android                                                                                            |         12 |        162 |         57 |         29 |        248 |
| android (Files)                                                                                    |          3 |         40 |          0 |          9 |         49 |
| android\app                                                                                        |          8 |        115 |         57 |         19 |        191 |
| android\app (Files)                                                                                |          1 |         44 |          6 |          9 |         59 |
| android\app\src                                                                                    |          7 |         71 |         51 |         10 |        132 |
| android\app\src\debug                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                               |          5 |         65 |         43 |          8 |        116 |
| android\app\src\main (Files)                                                                       |          1 |         39 |         11 |          2 |         52 |
| android\app\src\main\res                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                     |          1 |          7 |          0 |          1 |          8 |
| android\gradle\wrapper                                                                             |          1 |          7 |          0 |          1 |          8 |
| ios                                                                                                |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                |         30 |      8,641 |      2,410 |        713 |     11,764 |
| lib (Files)                                                                                        |          9 |      1,148 |        245 |         99 |      1,492 |
