"filename", "language", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\lib\Global_Parameter.dart", "Dart", 0, 1, 0, 0, 5, 6
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_card.dart", "Dart", 0, 410, 0, 16, 27, 453
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_form.dart", "Dart", 0, 323, 0, 50, 23, 396
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_grid.dart", "Dart", 0, 30, 0, 2, 4, 36
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_main.dart", "Dart", 0, 174, 0, 1, 12, 187
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_menu.dart", "Dart", 0, 105, 0, 7, 11, 123
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT09L\SSFGDT09L_search.dart", "Dart", 0, 277, 0, 6, 11, 294
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_barcode.dart", "Dart", 0, 507, 0, 16, 17, 540
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_card.dart", "Dart", 0, 5, 0, 3, 0, 8
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_form.dart", "Dart", 0, -4, 0, -13, 2, -15
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_grid.dart", "Dart", 0, 1048, 0, 43, 40, 1131
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_main.dart", "Dart", 0, 12, 0, -1, 0, 11
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_search.dart", "Dart", 0, 4, 0, -45, -1, -42
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_BARCODE.dart", "Dart", 0, 241, 0, 1, 21, 263
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_VERIFY.dart", "Dart", 0, 582, 0, 0, 37, 619
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_WARE.dart", "Dart", 0, 168, 0, 24, 13, 205
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_CREATE.dart", "Dart", 0, 28, 0, 1, -1, 28
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_FORM.dart", "Dart", 0, 42, 0, 1, -2, 41
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MAIN.dart", "Dart", 0, -57, 0, 104, 20, 67
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MENU.dart", "Dart", 0, -50, 0, -1, 5, -46
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_SEARCH.dart", "Dart", 0, 173, 0, 2, 18, 193
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_ADD_DOC.dart", "Dart", 0, 157, 0, 1, 10, 168
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_CARD.dart", "Dart", 0, 55, 0, 58, 13, 126
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_FROM_ADD.dart", "Dart", 0, 423, 0, 15, 28, 466
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_MAIN.dart", "Dart", 0, 130, 0, 0, 7, 137
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_SCREEN2.dart", "Dart", 0, 59, 0, 1, 2, 62
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT31\SSFGDT31_SEARCH_DOC.dart", "Dart", 0, 159, 0, 1, 7, 167
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_WARE.dart", "Dart", 0, 13, 0, 8, 2, 23
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_barcode.dart", "Dart", 0, -414, 0, 414, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card.dart", "Dart", 0, -543, 0, 543, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card_main.dart", "Dart", 0, -543, 0, 543, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_form.dart", "Dart", 0, 58, 0, 21, -2, 77
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart", "Dart", 0, 957, 0, 33, 54, 1044
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart", "Dart", 0, -246, 0, 212, 7, -27
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_search.dart", "Dart", 0, 233, 0, 7, 23, 263
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart", "Dart", 0, 54, 0, 30, 2, 86
"c:\Users\h\Downloads\App\wms_android\lib\bottombar.dart", "Dart", 0, -5, 0, 1, 0, -4
"c:\Users\h\Downloads\App\wms_android\lib\custom_appbar.dart", "Dart", 0, 0, 0, 1, 0, 1
"c:\Users\h\Downloads\App\wms_android\lib\main.dart", "Dart", 0, 1, 0, -2, -4, -5
"c:\Users\h\Downloads\App\wms_android\lib\test_menu_lv2.dart", "Dart", 0, 19, 0, -4, 0, 15
"c:\Users\h\Downloads\App\wms_android\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 2, 0, 0, 2
"c:\Users\h\Downloads\App\wms_android\pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 2
"Total", "-", 2, 4586, 2, 2100, 411, 7101
