"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Swift", "HTML", "Gradle", "Java Properties", "XML", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\h\Downloads\App\wms_android\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\h\Downloads\App\wms_android\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 9, 59
"c:\Users\h\Downloads\App\wms_android\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 11, 2, 52
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\h\Downloads\App\wms_android\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\h\Downloads\App\wms_android\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\h\Downloads\App\wms_android\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\h\Downloads\App\wms_android\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\h\Downloads\App\wms_android\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms_android\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
