"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms_android\lib\Global_Parameter.dart", "Dart", 1, 0, 0, 1
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_grid.dart", "Dart", -2, -4, -1, -7
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_search.dart", "Dart", -13, 14, 0, 1
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17T_WARE.dart", "Dart", 168, 24, 13, 205
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_BARCODE.dart", "Dart", -413, -1, -35, -449
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_VERIFY.dart", "Dart", -25, 0, 1, -24
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_WARE.dart", "Dart", -168, -24, -13, -205
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_BARCODE.dart", "Dart", 398, 1, 35, 434
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_FORM.dart", "Dart", -21, 21, 0, 0
"c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MAIN.dart", "Dart", 59, 13, -1, 71
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_WARE.dart", "Dart", 4, 0, 2, 6
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart", "Dart", 4, 0, 2, 6
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart", "Dart", 3, 0, 1, 4
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_search.dart", "Dart", 3, 0, 1, 4
"c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart", "Dart", 0, 0, 1, 1
"Total", "-", -2, 44, 6, 48
